document_id,filename,title,authority_status,effective_from,effective_to,jurisdiction,trusted_for_decision,owner,sha256,prohibited_use
CATASTROPHE_HARDSHIP_POLICY,CATASTROPHE_HARDSHIP_POLICY.md,Catastrophe hardship policy,approved,2026-01-01,,global,yes,Group Policy and Control Owner,a9cd334984ed1f6171fd949f1dc58c94166c51c7fbd2dac80bf640202c3f6537,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
TELEMATICS_DATA_GOVERNANCE,TELEMATICS_DATA_GOVERNANCE.md,Telematics governance,approved,2026-01-01,,global,yes,Group Policy and Control Owner,e8627d02aaca1a2f49842b1cecde564a1edfc62f5e63ca4ef6890abdbeaa97c2,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
HEALTH_CLAIM_SENSITIVITY,HEALTH_CLAIM_SENSITIVITY.md,Health claim sensitivity,approved,2026-01-01,,global,yes,Group Policy and Control Owner,55b97293f68b4cad312f1d2eabcb9ae8a4c5b02b01cf954144fb90acf56be9a7,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
LIFE_CONTESTABILITY_GUIDE,LIFE_CONTESTABILITY_GUIDE.md,Life contestability guide,approved,2026-01-01,,global,yes,Group Policy and Control Owner,afe3ff5632f56e1804e524d0d1c4a7225d309b58a42d7d695b28136a74892a69,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
PARAMETRIC_TRIGGER_AUTHORITY,PARAMETRIC_TRIGGER_AUTHORITY.md,Parametric trigger authority,approved,2026-01-01,,global,yes,Group Policy and Control Owner,fd5eec1c8300e2bd9ecfb012bd3b4fe3643aaad0e8ab854cbefa29496e6db371,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
ACORD_INTEGRATION_STANDARD,ACORD_INTEGRATION_STANDARD.md,ACORD integration standard,approved,2026-01-01,,global,yes,Group Policy and Control Owner,afd1f173286f8a79dbf8c9a0f18d4b576d0e6cf68afd14cfe85868e835f7299d,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
CLAIM_APPEAL_CONTESTABILITY,CLAIM_APPEAL_CONTESTABILITY.md,Claim appeal and contestability,approved,2026-01-01,,global,yes,Group Policy and Control Owner,a92b9724afb2549442c78359c626e7dc344611b3f5682afbe43ea89049634c4d,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
MODEL_CHANGE_CONTROL,MODEL_CHANGE_CONTROL.md,Model change control,approved,2026-01-01,,global,yes,Group Policy and Control Owner,dbedec1dbb15295a25fea0a0b817f897be661e8c77ee9c8bc51e1baa3ccb6353,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
AI_INCIDENT_RESPONSE,AI_INCIDENT_RESPONSE.md,AI incident response,approved,2026-01-01,,global,yes,Group Policy and Control Owner,5aaf902b2d7d3629340696a9e8dd72d60796df5818303ff0e942e5ec2c663053,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
MALICIOUS_ADJUSTER_REPORT,MALICIOUS_ADJUSTER_REPORT.md,Third-party adjuster report,untrusted,unknown,,global,no,Evidence Intake Owner,d630567d99e09e51e277484b8293f067a14a8494e82de764a4416d1de504597e,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
BROKER_EMAIL_UNVERIFIED,BROKER_EMAIL_UNVERIFIED.md,Broker email,unverified,unknown,,global,no,Broker Governance Owner,d1f12a6a26518d13ee1aed1703cabb596411e243bd0ba93fd35325661e21ea93,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
OUTDATED_HOME_WORDING_2023,OUTDATED_HOME_WORDING_2023.md,Old home wording,obsolete,unknown,,global,no,Document Control Owner,677e26d415649c814dd0285384bbec838459edb86dfe40e941359ac2e46412bd,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
REPAIRER_PROMOTION,REPAIRER_PROMOTION.md,Preferred repairer brochure,marketing,unknown,,global,no,Product Governance Owner,62a5c809c59767bdfc851172fbe6b68ef38aa3d2c4a557b61a5975ad549e3132,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
RESEARCH_NOTE_GRAPH_EVERYTHING,RESEARCH_NOTE_GRAPH_EVERYTHING.md,Architecture research note,draft,unknown,,global,no,Architecture Review Board,8c191e0fb8858d52df8c8a1afc992ce6b356dfa3a15aafb44932be815c94aea4,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
LOCAL_WORK_INSTRUCTION_IN,LOCAL_WORK_INSTRUCTION_IN.md,India catastrophe work instruction,local-approved,2026-01-01,,global,yes,Local Business Control Owner,50e73b9a308c247425252434848a06d4740be5e3c3a333f60c2388f02379362d,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
LOCAL_WORK_INSTRUCTION_DE,LOCAL_WORK_INSTRUCTION_DE.md,Germany motor work instruction,local-approved,2026-01-01,,global,yes,Local Business Control Owner,27df8fcd7b4725038fa4cdab91de9101dedb94412f35fd133ce20f476087b85a,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
LOCAL_WORK_INSTRUCTION_US,LOCAL_WORK_INSTRUCTION_US.md,US underwriting work instruction,local-approved,2026-01-01,,global,yes,Local Business Control Owner,215467513b3e265347b128634747056b6beab233af579571e4bea43aceb3454b,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
REINSURER_POSITION_NOTE,REINSURER_POSITION_NOTE.md,Reinsurer position note,counterparty,unknown,,global,no,Reinsurance Legal Owner,fda8d2e85a248e4af084150832f76aad12cfc1df5e43802fec87217b7d66172b,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
OMBUDSMAN_CASE_SUMMARY,OMBUDSMAN_CASE_SUMMARY.md,Ombudsman case summary,external,unknown,,global,no,Customer Outcomes Owner,b0cb5c9e54b400d65b4cf26c10b7efc97cee65831bf59f8b7ffbc7afe01ccca0,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
CAT_MODEL_VENDOR_NOTE,CAT_MODEL_VENDOR_NOTE.md,Cat model release note,vendor,unknown,,global,no,Third-Party Risk Owner,5e4bbf44a70929e652edb4274140849901dfc0ba9ba94862e24c64f4f891a4a8,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
PRICING_VENDOR_DATASHEET,PRICING_VENDOR_DATASHEET.md,Pricing data sheet,vendor,unknown,,global,no,Third-Party Risk Owner,2eca84aea39dc43d4a2063ccfb5f58621cb02996bd7e8fa1db7e2b3ca700b84d,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
GENAI_SAFE_SUMMARISATION,GENAI_SAFE_SUMMARISATION.md,Safe summarisation,approved,2026-01-01,,global,yes,Group Policy and Control Owner,6dea79a0cba1ee29059f3bc534981a5c5bc1b61a5f7904c8eab255f43f3248cb,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
PAYMENT_CONTROL_POLICY,PAYMENT_CONTROL_POLICY.md,Payment controls,approved,2026-01-01,,global,yes,Group Policy and Control Owner,43fbc942c8b07d5a40784c28dcc7dbeedea92d20a7579987ab012fbfa8e085db,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
SANCTIONS_FALSE_POSITIVE_GUIDE,SANCTIONS_FALSE_POSITIVE_GUIDE.md,Sanctions screening,approved,2026-01-01,,global,yes,Group Policy and Control Owner,586d87ab90ce1c2b60d7d7811e66d8fdc18c24ec1ab249d9e5bf0facd3c03060,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
DATA_RETENTION_CONFLICTS,DATA_RETENTION_CONFLICTS.md,Retention conflicts,approved,2026-01-01,,global,yes,Group Policy and Control Owner,100b636e8ffb43f532e9e06d7ad52e5d62eb3bf41355d8f06c5e84208dce50ca,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
ACCESSIBILITY_STANDARD,ACCESSIBILITY_STANDARD.md,Accessibility standard,approved,2026-01-01,,global,yes,Group Policy and Control Owner,27f0d18bdb72e8ed975e1bacdc6a62e33783e27139e7eeef737e10999c390526,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
REGULATORY_REQUEST_PROTOCOL,REGULATORY_REQUEST_PROTOCOL.md,Regulatory request protocol,approved,2026-01-01,,global,yes,Group Policy and Control Owner,15b5a7fc21cb1441ebd19c0caac8ec6444da4b111cc72502ad61b461191e704c,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
