dataset,column,inferred_type,non_null_count,distinct_count,description
appeals.csv,notes,string,4,4,Synthetic field `notes` in appeals.csv; interpret using case context and authority controls.
audit_events.csv,record_id,string,6,6,Synthetic field `record_id` in audit_events.csv; interpret using case context and authority controls.
audit_events.csv,entity_id,string,6,4,Synthetic field `entity_id` in audit_events.csv; interpret using case context and authority controls.
audit_events.csv,event_time,datetime_or_date,6,5,Synthetic field `event_time` in audit_events.csv; interpret using case context and authority controls.
audit_events.csv,status,string,6,5,Synthetic field `status` in audit_events.csv; interpret using case context and authority controls.
audit_events.csv,value,string,6,6,Synthetic field `value` in audit_events.csv; interpret using case context and authority controls.
audit_events.csv,source_system,string,6,5,Synthetic field `source_system` in audit_events.csv; interpret using case context and authority controls.
audit_events.csv,jurisdiction,string,6,5,Synthetic field `jurisdiction` in audit_events.csv; interpret using case context and authority controls.
audit_events.csv,notes,string,6,6,Synthetic field `notes` in audit_events.csv; interpret using case context and authority controls.
backup_inventory.csv,record_id,string,5,5,Synthetic field `record_id` in backup_inventory.csv; interpret using case context and authority controls.
backup_inventory.csv,entity_id,string,5,4,Synthetic field `entity_id` in backup_inventory.csv; interpret using case context and authority controls.
backup_inventory.csv,event_time,datetime_or_date,5,5,Synthetic field `event_time` in backup_inventory.csv; interpret using case context and authority controls.
backup_inventory.csv,status,string,5,5,Synthetic field `status` in backup_inventory.csv; interpret using case context and authority controls.
backup_inventory.csv,value,string,5,5,Synthetic field `value` in backup_inventory.csv; interpret using case context and authority controls.
backup_inventory.csv,source_system,string,5,5,Synthetic field `source_system` in backup_inventory.csv; interpret using case context and authority controls.
backup_inventory.csv,jurisdiction,string,5,5,Synthetic field `jurisdiction` in backup_inventory.csv; interpret using case context and authority controls.
backup_inventory.csv,notes,string,5,5,Synthetic field `notes` in backup_inventory.csv; interpret using case context and authority controls.
beneficiaries.csv,record_id,string,4,4,Synthetic field `record_id` in beneficiaries.csv; interpret using case context and authority controls.
beneficiaries.csv,entity_id,string,4,4,Synthetic field `entity_id` in beneficiaries.csv; interpret using case context and authority controls.
beneficiaries.csv,event_time,datetime_or_date,4,4,Synthetic field `event_time` in beneficiaries.csv; interpret using case context and authority controls.
beneficiaries.csv,status,string,4,4,Synthetic field `status` in beneficiaries.csv; interpret using case context and authority controls.
beneficiaries.csv,value,string,4,4,Synthetic field `value` in beneficiaries.csv; interpret using case context and authority controls.
beneficiaries.csv,source_system,string,4,4,Synthetic field `source_system` in beneficiaries.csv; interpret using case context and authority controls.
beneficiaries.csv,jurisdiction,string,4,4,Synthetic field `jurisdiction` in beneficiaries.csv; interpret using case context and authority controls.
beneficiaries.csv,notes,string,4,4,Synthetic field `notes` in beneficiaries.csv; interpret using case context and authority controls.
billing_events.csv,record_id,string,5,5,Synthetic field `record_id` in billing_events.csv; interpret using case context and authority controls.
billing_events.csv,entity_id,string,5,4,Synthetic field `entity_id` in billing_events.csv; interpret using case context and authority controls.
billing_events.csv,event_time,datetime_or_date,5,5,Synthetic field `event_time` in billing_events.csv; interpret using case context and authority controls.
billing_events.csv,status,string,5,5,Synthetic field `status` in billing_events.csv; interpret using case context and authority controls.
billing_events.csv,value,string,5,5,Synthetic field `value` in billing_events.csv; interpret using case context and authority controls.
billing_events.csv,source_system,string,5,5,Synthetic field `source_system` in billing_events.csv; interpret using case context and authority controls.
billing_events.csv,jurisdiction,string,5,5,Synthetic field `jurisdiction` in billing_events.csv; interpret using case context and authority controls.
billing_events.csv,notes,string,5,5,Synthetic field `notes` in billing_events.csv; interpret using case context and authority controls.
binder_events.csv,record_id,string,5,5,Synthetic field `record_id` in binder_events.csv; interpret using case context and authority controls.
binder_events.csv,entity_id,string,5,4,Synthetic field `entity_id` in binder_events.csv; interpret using case context and authority controls.
binder_events.csv,event_time,datetime_or_date,5,5,Synthetic field `event_time` in binder_events.csv; interpret using case context and authority controls.
binder_events.csv,status,string,5,5,Synthetic field `status` in binder_events.csv; interpret using case context and authority controls.
binder_events.csv,value,string,5,5,Synthetic field `value` in binder_events.csv; interpret using case context and authority controls.
binder_events.csv,source_system,string,5,5,Synthetic field `source_system` in binder_events.csv; interpret using case context and authority controls.
binder_events.csv,jurisdiction,string,5,5,Synthetic field `jurisdiction` in binder_events.csv; interpret using case context and authority controls.
binder_events.csv,notes,string,5,5,Synthetic field `notes` in binder_events.csv; interpret using case context and authority controls.
board_requests.csv,record_id,string,5,5,Synthetic field `record_id` in board_requests.csv; interpret using case context and authority controls.
board_requests.csv,entity_id,string,5,4,Synthetic field `entity_id` in board_requests.csv; interpret using case context and authority controls.
board_requests.csv,event_time,datetime_or_date,5,5,Synthetic field `event_time` in board_requests.csv; interpret using case context and authority controls.
board_requests.csv,status,string,5,5,Synthetic field `status` in board_requests.csv; interpret using case context and authority controls.
board_requests.csv,value,string,5,5,Synthetic field `value` in board_requests.csv; interpret using case context and authority controls.
board_requests.csv,source_system,string,5,5,Synthetic field `source_system` in board_requests.csv; interpret using case context and authority controls.
board_requests.csv,jurisdiction,string,5,5,Synthetic field `jurisdiction` in board_requests.csv; interpret using case context and authority controls.
board_requests.csv,notes,string,5,5,Synthetic field `notes` in board_requests.csv; interpret using case context and authority controls.
bordereaux.csv,record_id,string,5,5,Synthetic field `record_id` in bordereaux.csv; interpret using case context and authority controls.
bordereaux.csv,entity_id,string,5,4,Synthetic field `entity_id` in bordereaux.csv; interpret using case context and authority controls.
bordereaux.csv,event_time,datetime_or_date,5,5,Synthetic field `event_time` in bordereaux.csv; interpret using case context and authority controls.
bordereaux.csv,status,string,5,5,Synthetic field `status` in bordereaux.csv; interpret using case context and authority controls.
bordereaux.csv,value,string,5,5,Synthetic field `value` in bordereaux.csv; interpret using case context and authority controls.
bordereaux.csv,source_system,string,5,5,Synthetic field `source_system` in bordereaux.csv; interpret using case context and authority controls.
bordereaux.csv,jurisdiction,string,5,5,Synthetic field `jurisdiction` in bordereaux.csv; interpret using case context and authority controls.
bordereaux.csv,notes,string,5,5,Synthetic field `notes` in bordereaux.csv; interpret using case context and authority controls.
broker_commissions.csv,record_id,string,5,5,Synthetic field `record_id` in broker_commissions.csv; interpret using case context and authority controls.
broker_commissions.csv,entity_id,string,5,4,Synthetic field `entity_id` in broker_commissions.csv; interpret using case context and authority controls.
broker_commissions.csv,event_time,datetime_or_date,5,5,Synthetic field `event_time` in broker_commissions.csv; interpret using case context and authority controls.
broker_commissions.csv,status,string,5,5,Synthetic field `status` in broker_commissions.csv; interpret using case context and authority controls.
broker_commissions.csv,value,string,5,5,Synthetic field `value` in broker_commissions.csv; interpret using case context and authority controls.
broker_commissions.csv,source_system,string,5,5,Synthetic field `source_system` in broker_commissions.csv; interpret using case context and authority controls.
broker_commissions.csv,jurisdiction,string,5,5,Synthetic field `jurisdiction` in broker_commissions.csv; interpret using case context and authority controls.
broker_commissions.csv,notes,string,5,5,Synthetic field `notes` in broker_commissions.csv; interpret using case context and authority controls.
broker_correspondence.csv,record_id,string,5,5,Synthetic field `record_id` in broker_correspondence.csv; interpret using case context and authority controls.
broker_correspondence.csv,entity_id,string,5,4,Synthetic field `entity_id` in broker_correspondence.csv; interpret using case context and authority controls.
broker_correspondence.csv,event_time,datetime_or_date,5,5,Synthetic field `event_time` in broker_correspondence.csv; interpret using case context and authority controls.
broker_correspondence.csv,status,string,5,5,Synthetic field `status` in broker_correspondence.csv; interpret using case context and authority controls.
broker_correspondence.csv,value,string,5,5,Synthetic field `value` in broker_correspondence.csv; interpret using case context and authority controls.
broker_correspondence.csv,source_system,string,5,5,Synthetic field `source_system` in broker_correspondence.csv; interpret using case context and authority controls.
broker_correspondence.csv,jurisdiction,string,5,5,Synthetic field `jurisdiction` in broker_correspondence.csv; interpret using case context and authority controls.
broker_correspondence.csv,notes,string,5,5,Synthetic field `notes` in broker_correspondence.csv; interpret using case context and authority controls.
brokers.csv,record_id,string,4,4,Synthetic field `record_id` in brokers.csv; interpret using case context and authority controls.
brokers.csv,entity_id,string,4,4,Synthetic field `entity_id` in brokers.csv; interpret using case context and authority controls.
brokers.csv,event_time,datetime_or_date,4,4,Synthetic field `event_time` in brokers.csv; interpret using case context and authority controls.
brokers.csv,status,string,4,4,Synthetic field `status` in brokers.csv; interpret using case context and authority controls.
brokers.csv,value,string,4,4,Synthetic field `value` in brokers.csv; interpret using case context and authority controls.
brokers.csv,source_system,string,4,4,Synthetic field `source_system` in brokers.csv; interpret using case context and authority controls.
brokers.csv,jurisdiction,string,4,4,Synthetic field `jurisdiction` in brokers.csv; interpret using case context and authority controls.
brokers.csv,notes,string,4,4,Synthetic field `notes` in brokers.csv; interpret using case context and authority controls.
candidate_outputs.csv,record_id,string,5,5,Synthetic field `record_id` in candidate_outputs.csv; interpret using case context and authority controls.
candidate_outputs.csv,entity_id,string,5,4,Synthetic field `entity_id` in candidate_outputs.csv; interpret using case context and authority controls.
candidate_outputs.csv,event_time,datetime_or_date,5,5,Synthetic field `event_time` in candidate_outputs.csv; interpret using case context and authority controls.
candidate_outputs.csv,status,string,5,5,Synthetic field `status` in candidate_outputs.csv; interpret using case context and authority controls.
candidate_outputs.csv,value,string,5,5,Synthetic field `value` in candidate_outputs.csv; interpret using case context and authority controls.
candidate_outputs.csv,source_system,string,5,5,Synthetic field `source_system` in candidate_outputs.csv; interpret using case context and authority controls.
candidate_outputs.csv,jurisdiction,string,5,5,Synthetic field `jurisdiction` in candidate_outputs.csv; interpret using case context and authority controls.
candidate_outputs.csv,notes,string,5,5,Synthetic field `notes` in candidate_outputs.csv; interpret using case context and authority controls.
capital_scenarios.csv,record_id,string,5,5,Synthetic field `record_id` in capital_scenarios.csv; interpret using case context and authority controls.
capital_scenarios.csv,entity_id,string,5,4,Synthetic field `entity_id` in capital_scenarios.csv; interpret using case context and authority controls.
capital_scenarios.csv,event_time,datetime_or_date,5,5,Synthetic field `event_time` in capital_scenarios.csv; interpret using case context and authority controls.
capital_scenarios.csv,status,string,5,5,Synthetic field `status` in capital_scenarios.csv; interpret using case context and authority controls.
capital_scenarios.csv,value,string,5,5,Synthetic field `value` in capital_scenarios.csv; interpret using case context and authority controls.
capital_scenarios.csv,source_system,string,5,5,Synthetic field `source_system` in capital_scenarios.csv; interpret using case context and authority controls.
capital_scenarios.csv,jurisdiction,string,5,5,Synthetic field `jurisdiction` in capital_scenarios.csv; interpret using case context and authority controls.
capital_scenarios.csv,notes,string,5,5,Synthetic field `notes` in capital_scenarios.csv; interpret using case context and authority controls.
cat_events.csv,event_id,string,2,2,Synthetic field `event_id` in cat_events.csv; interpret using case context and authority controls.
cat_events.csv,name,string,2,2,Synthetic field `name` in cat_events.csv; interpret using case context and authority controls.
cat_events.csv,start_utc,datetime_or_date,2,2,Synthetic field `start_utc` in cat_events.csv; interpret using case context and authority controls.
cat_events.csv,end_utc,datetime_or_date,2,2,Synthetic field `end_utc` in cat_events.csv; interpret using case context and authority controls.
cat_events.csv,definition_owner,string,2,2,Synthetic field `definition_owner` in cat_events.csv; interpret using case context and authority controls.
cat_events.csv,hours_clause,number,2,2,Synthetic field `hours_clause` in cat_events.csv; interpret using case context and authority controls.
cat_models.csv,record_id,string,5,5,Synthetic field `record_id` in cat_models.csv; interpret using case context and authority controls.
cat_models.csv,entity_id,string,5,4,Synthetic field `entity_id` in cat_models.csv; interpret using case context and authority controls.
cat_models.csv,event_time,datetime_or_date,5,5,Synthetic field `event_time` in cat_models.csv; interpret using case context and authority controls.
cat_models.csv,status,string,5,5,Synthetic field `status` in cat_models.csv; interpret using case context and authority controls.
cat_models.csv,value,string,5,5,Synthetic field `value` in cat_models.csv; interpret using case context and authority controls.
cat_models.csv,source_system,string,5,5,Synthetic field `source_system` in cat_models.csv; interpret using case context and authority controls.
cat_models.csv,jurisdiction,string,5,5,Synthetic field `jurisdiction` in cat_models.csv; interpret using case context and authority controls.
cat_models.csv,notes,string,5,5,Synthetic field `notes` in cat_models.csv; interpret using case context and authority controls.
catastrophe_capacity.csv,record_id,string,4,4,Synthetic field `record_id` in catastrophe_capacity.csv; interpret using case context and authority controls.
catastrophe_capacity.csv,entity_id,string,4,4,Synthetic field `entity_id` in catastrophe_capacity.csv; interpret using case context and authority controls.
catastrophe_capacity.csv,event_time,datetime_or_date,4,4,Synthetic field `event_time` in catastrophe_capacity.csv; interpret using case context and authority controls.
catastrophe_capacity.csv,status,string,4,4,Synthetic field `status` in catastrophe_capacity.csv; interpret using case context and authority controls.
catastrophe_capacity.csv,value,string,4,4,Synthetic field `value` in catastrophe_capacity.csv; interpret using case context and authority controls.
catastrophe_capacity.csv,source_system,string,4,4,Synthetic field `source_system` in catastrophe_capacity.csv; interpret using case context and authority controls.
catastrophe_capacity.csv,jurisdiction,string,4,4,Synthetic field `jurisdiction` in catastrophe_capacity.csv; interpret using case context and authority controls.
catastrophe_capacity.csv,notes,string,4,4,Synthetic field `notes` in catastrophe_capacity.csv; interpret using case context and authority controls.
channels.csv,record_id,string,4,4,Synthetic field `record_id` in channels.csv; interpret using case context and authority controls.
channels.csv,entity_id,string,4,4,Synthetic field `entity_id` in channels.csv; interpret using case context and authority controls.
channels.csv,event_time,datetime_or_date,4,4,Synthetic field `event_time` in channels.csv; interpret using case context and authority controls.
channels.csv,status,string,4,4,Synthetic field `status` in channels.csv; interpret using case context and authority controls.
channels.csv,value,string,4,4,Synthetic field `value` in channels.csv; interpret using case context and authority controls.
channels.csv,source_system,string,4,4,Synthetic field `source_system` in channels.csv; interpret using case context and authority controls.
channels.csv,jurisdiction,string,4,4,Synthetic field `jurisdiction` in channels.csv; interpret using case context and authority controls.
channels.csv,notes,string,4,4,Synthetic field `notes` in channels.csv; interpret using case context and authority controls.
claim_documents.csv,record_id,string,5,5,Synthetic field `record_id` in claim_documents.csv; interpret using case context and authority controls.
claim_documents.csv,entity_id,string,5,4,Synthetic field `entity_id` in claim_documents.csv; interpret using case context and authority controls.
claim_documents.csv,event_time,datetime_or_date,5,5,Synthetic field `event_time` in claim_documents.csv; interpret using case context and authority controls.
claim_documents.csv,status,string,5,5,Synthetic field `status` in claim_documents.csv; interpret using case context and authority controls.
claim_documents.csv,value,string,5,5,Synthetic field `value` in claim_documents.csv; interpret using case context and authority controls.
claim_documents.csv,source_system,string,5,5,Synthetic field `source_system` in claim_documents.csv; interpret using case context and authority controls.
claim_documents.csv,jurisdiction,string,5,5,Synthetic field `jurisdiction` in claim_documents.csv; interpret using case context and authority controls.
claim_documents.csv,notes,string,5,5,Synthetic field `notes` in claim_documents.csv; interpret using case context and authority controls.
claim_documents_index.csv,record_id,string,4,4,Synthetic field `record_id` in claim_documents_index.csv; interpret using case context and authority controls.
claim_documents_index.csv,entity_id,string,4,4,Synthetic field `entity_id` in claim_documents_index.csv; interpret using case context and authority controls.
claim_documents_index.csv,event_time,datetime_or_date,4,4,Synthetic field `event_time` in claim_documents_index.csv; interpret using case context and authority controls.
claim_documents_index.csv,status,string,4,4,Synthetic field `status` in claim_documents_index.csv; interpret using case context and authority controls.
claim_documents_index.csv,value,string,4,4,Synthetic field `value` in claim_documents_index.csv; interpret using case context and authority controls.
claim_documents_index.csv,source_system,string,4,4,Synthetic field `source_system` in claim_documents_index.csv; interpret using case context and authority controls.
claim_documents_index.csv,jurisdiction,string,4,4,Synthetic field `jurisdiction` in claim_documents_index.csv; interpret using case context and authority controls.
claim_documents_index.csv,notes,string,4,4,Synthetic field `notes` in claim_documents_index.csv; interpret using case context and authority controls.
claim_notes.csv,record_id,string,5,5,Synthetic field `record_id` in claim_notes.csv; interpret using case context and authority controls.
claim_notes.csv,entity_id,string,5,4,Synthetic field `entity_id` in claim_notes.csv; interpret using case context and authority controls.
claim_notes.csv,event_time,datetime_or_date,5,5,Synthetic field `event_time` in claim_notes.csv; interpret using case context and authority controls.
claim_notes.csv,status,string,5,5,Synthetic field `status` in claim_notes.csv; interpret using case context and authority controls.
claim_notes.csv,value,string,5,5,Synthetic field `value` in claim_notes.csv; interpret using case context and authority controls.
claim_notes.csv,source_system,string,5,5,Synthetic field `source_system` in claim_notes.csv; interpret using case context and authority controls.
claim_notes.csv,jurisdiction,string,5,5,Synthetic field `jurisdiction` in claim_notes.csv; interpret using case context and authority controls.
claim_notes.csv,notes,string,5,5,Synthetic field `notes` in claim_notes.csv; interpret using case context and authority controls.
claim_reserves.csv,record_id,string,6,6,Synthetic field `record_id` in claim_reserves.csv; interpret using case context and authority controls.
claim_reserves.csv,entity_id,string,6,4,Synthetic field `entity_id` in claim_reserves.csv; interpret using case context and authority controls.
claim_reserves.csv,event_time,datetime_or_date,6,5,Synthetic field `event_time` in claim_reserves.csv; interpret using case context and authority controls.
claim_reserves.csv,status,string,6,5,Synthetic field `status` in claim_reserves.csv; interpret using case context and authority controls.
claim_reserves.csv,value,string,6,6,Synthetic field `value` in claim_reserves.csv; interpret using case context and authority controls.
claim_reserves.csv,source_system,string,6,5,Synthetic field `source_system` in claim_reserves.csv; interpret using case context and authority controls.
claim_reserves.csv,jurisdiction,string,6,5,Synthetic field `jurisdiction` in claim_reserves.csv; interpret using case context and authority controls.
claim_reserves.csv,notes,string,6,6,Synthetic field `notes` in claim_reserves.csv; interpret using case context and authority controls.
claim_tasks.csv,record_id,string,4,4,Synthetic field `record_id` in claim_tasks.csv; interpret using case context and authority controls.
claim_tasks.csv,entity_id,string,4,4,Synthetic field `entity_id` in claim_tasks.csv; interpret using case context and authority controls.
claim_tasks.csv,event_time,datetime_or_date,4,4,Synthetic field `event_time` in claim_tasks.csv; interpret using case context and authority controls.
claim_tasks.csv,status,string,4,4,Synthetic field `status` in claim_tasks.csv; interpret using case context and authority controls.
claim_tasks.csv,value,string,4,4,Synthetic field `value` in claim_tasks.csv; interpret using case context and authority controls.
claim_tasks.csv,source_system,string,4,4,Synthetic field `source_system` in claim_tasks.csv; interpret using case context and authority controls.
claim_tasks.csv,jurisdiction,string,4,4,Synthetic field `jurisdiction` in claim_tasks.csv; interpret using case context and authority controls.
claim_tasks.csv,notes,string,4,4,Synthetic field `notes` in claim_tasks.csv; interpret using case context and authority controls.
claimant_identities.csv,record_id,string,7,7,Synthetic field `record_id` in claimant_identities.csv; interpret using case context and authority controls.
claimant_identities.csv,entity_id,string,7,4,Synthetic field `entity_id` in claimant_identities.csv; interpret using case context and authority controls.
claimant_identities.csv,event_time,datetime_or_date,7,5,Synthetic field `event_time` in claimant_identities.csv; interpret using case context and authority controls.
claimant_identities.csv,status,string,7,5,Synthetic field `status` in claimant_identities.csv; interpret using case context and authority controls.
claimant_identities.csv,value,string,7,7,Synthetic field `value` in claimant_identities.csv; interpret using case context and authority controls.
claimant_identities.csv,source_system,string,7,5,Synthetic field `source_system` in claimant_identities.csv; interpret using case context and authority controls.
claimant_identities.csv,jurisdiction,string,7,5,Synthetic field `jurisdiction` in claimant_identities.csv; interpret using case context and authority controls.
claimant_identities.csv,notes,string,7,7,Synthetic field `notes` in claimant_identities.csv; interpret using case context and authority controls.
claims.csv,claim_id,string,4,4,Synthetic field `claim_id` in claims.csv; interpret using case context and authority controls.
claims.csv,policy_id,string,4,4,Synthetic field `policy_id` in claims.csv; interpret using case context and authority controls.
claims.csv,party_id,string,4,3,Synthetic field `party_id` in claims.csv; interpret using case context and authority controls.
claims.csv,loss_event_id,string,4,3,Synthetic field `loss_event_id` in claims.csv; interpret using case context and authority controls.
claims.csv,reported_at,datetime_or_date,4,4,Synthetic field `reported_at` in claims.csv; interpret using case context and authority controls.
claims.csv,loss_type,string,4,4,Synthetic field `loss_type` in claims.csv; interpret using case context and authority controls.
claims.csv,status,string,4,2,Synthetic field `status` in claims.csv; interpret using case context and authority controls.
claims.csv,claimed_amount,number,4,4,Synthetic field `claimed_amount` in claims.csv; interpret using case context and authority controls.
claims.csv,currency,string,4,3,Synthetic field `currency` in claims.csv; interpret using case context and authority controls.
claims.csv,cat_event_id,string,2,2,Synthetic field `cat_event_id` in claims.csv; interpret using case context and authority controls.
clinical_notes.csv,record_id,string,5,5,Synthetic field `record_id` in clinical_notes.csv; interpret using case context and authority controls.
clinical_notes.csv,entity_id,string,5,4,Synthetic field `entity_id` in clinical_notes.csv; interpret using case context and authority controls.
clinical_notes.csv,event_time,datetime_or_date,5,5,Synthetic field `event_time` in clinical_notes.csv; interpret using case context and authority controls.
clinical_notes.csv,status,string,5,5,Synthetic field `status` in clinical_notes.csv; interpret using case context and authority controls.
clinical_notes.csv,value,string,5,5,Synthetic field `value` in clinical_notes.csv; interpret using case context and authority controls.
